	PV2	PV5	PV6	PV7	PV8	PV9
Cluster-0.0	0	0	0	0	0	35
Cluster-1.0	0	0	0	0	0	16
Cluster-2.0	0	0	0	0	0	15
Cluster-3.0	0	0	0	0	0	22
Cluster-4.0	0	0	0	0	0	13
Cluster-5.0	0	0	0	0	0	25
Cluster-6.0	0	0	0	0	0	19
Cluster-7.0	0	0	0	0	0	35
Cluster-8.0	0	0	0	0	0	14
Cluster-9.0	0	0	0	0	0	18
Cluster-10.0	0	0	0	0	0	16
Cluster-11.0	0	0	0	0	0	33
Cluster-12.0	0	0	0	0	0	17
Cluster-13.0	0	0	0	0	0	24
Cluster-14.0	0	0	0	0	0	28
Cluster-15.0	0	0	0	0	0	40
Cluster-16.0	0	0	0	0	0	20
Cluster-17.0	0	0	0	0	0	20
Cluster-18.0	0	0	0	0	0	25
Cluster-19.0	0	0	0	0	0	26
Cluster-20.0	0	0	0	0	0	10
Cluster-21.0	0	0	0	0	0	22
Cluster-22.0	0	0	0	0	0	28
Cluster-23.0	0	0	0	0	0	17
Cluster-24.0	0	0	0	0	0	40
Cluster-25.0	0	0	0	0	0	14
Cluster-26.0	0	0	0	0	0	14
Cluster-27.0	0	0	0	0	0	14
Cluster-28.0	0	0	0	0	0	20
Cluster-29.0	0	0	0	0	0	24
Cluster-30.0	0	0	0	0	0	26
Cluster-31.0	0	0	0	0	0	34
Cluster-32.0	0	0	0	0	0	14
Cluster-33.0	0	0	0	0	0	23
Cluster-34.0	0	0	0	0	0	25
Cluster-35.0	0	0	0	0	0	27
Cluster-36.0	0	0	0	0	0	13
Cluster-37.0	0	0	0	0	0	14
Cluster-38.0	0	0	0	0	0	16
Cluster-39.0	0	0	0	0	0	17
Cluster-40.0	0	0	0	0	0	19
Cluster-41.0	0	0	0	0	0	20
Cluster-42.0	0	0	0	0	0	26
Cluster-43.0	0	0	0	0	0	27
Cluster-44.0	0	0	0	0	0	10
Cluster-45.0	0	0	0	0	0	23
Cluster-46.0	0	0	0	0	0	41
Cluster-47.0	0	0	0	0	0	46
Cluster-48.0	0	0	0	0	0	12
Cluster-49.0	0	0	0	0	0	16
Cluster-50.0	0	0	0	0	0	26
Cluster-51.0	0	0	0	0	0	26
Cluster-52.0	0	0	0	0	0	28
Cluster-53.0	0	0	0	0	0	39
Cluster-54.0	0	0	0	0	0	13
Cluster-55.0	0	0	0	0	0	12
Cluster-56.0	0	0	0	0	0	15
Cluster-57.0	0	0	0	0	0	25
Cluster-58.0	0	0	0	0	0	28
Cluster-59.0	0	0	0	0	0	39
Cluster-60.0	0	0	0	0	0	43
Cluster-61.0	0	0	0	0	0	56
Cluster-62.0	0	0	0	0	0	12
Cluster-63.0	0	0	0	0	0	11
Cluster-64.0	0	0	0	0	0	14
Cluster-65.0	0	0	0	0	0	13
Cluster-66.0	0	0	0	0	0	16
Cluster-67.0	0	0	0	0	0	14
Cluster-68.0	0	0	0	0	0	17
Cluster-69.0	0	0	0	0	0	16
Cluster-70.0	0	0	0	0	0	18
Cluster-71.0	0	0	0	0	0	17
Cluster-72.0	0	0	0	0	0	21
Cluster-73.0	0	0	0	0	0	21
Cluster-74.0	0	0	0	0	0	21
Cluster-75.0	0	0	0	0	0	23
Cluster-76.0	0	0	0	0	0	23
Cluster-77.0	0	0	0	0	0	22
Cluster-78.0	0	0	0	0	0	25
Cluster-79.0	0	0	0	0	0	25
Cluster-80.0	0	0	0	0	0	27
Cluster-81.0	0	0	0	0	0	27
Cluster-82.0	0	0	0	0	0	31
Cluster-83.0	0	0	0	0	0	28
Cluster-84.0	0	0	0	0	0	32
Cluster-85.0	0	0	0	0	0	30
Cluster-86.0	0	0	0	0	0	34
Cluster-87.0	0	0	0	0	0	30
Cluster-88.0	0	0	0	0	0	35
Cluster-89.0	0	0	0	0	0	38
Cluster-90.0	0	0	0	0	0	43
Cluster-91.0	0	0	0	0	0	39
Cluster-92.0	0	0	0	0	0	35
Cluster-93.0	0	0	0	0	0	33
Cluster-94.0	0	0	0	0	0	17
Cluster-95.0	0	0	0	0	0	32
Cluster-96.0	0	0	0	0	0	16
Cluster-97.0	0	0	0	0	0	17
Cluster-98.0	0	0	0	0	0	12
Cluster-99.0	0	0	0	0	0	18
Cluster-100.0	0	0	0	0	0	18
Cluster-101.0	0	0	0	0	0	22
Cluster-102.0	0	0	0	0	0	26
Cluster-103.0	0	0	0	0	0	28
Cluster-104.0	0	0	0	0	0	29
Cluster-105.0	0	0	0	0	0	36
Cluster-106.0	0	0	0	0	0	40
Cluster-107.0	0	0	0	0	0	42
Cluster-108.0	0	0	0	0	0	11
Cluster-109.0	0	0	0	0	0	11
Cluster-110.0	0	0	0	0	0	11
Cluster-111.0	0	0	0	0	0	12
Cluster-112.0	0	0	0	0	0	12
Cluster-113.0	0	0	0	0	0	12
Cluster-114.0	0	0	0	0	0	14
Cluster-115.0	0	0	0	0	0	15
Cluster-116.0	0	0	0	0	0	15
Cluster-117.0	0	0	0	0	0	11
Cluster-118.0	0	0	0	0	0	13
Cluster-119.0	0	0	0	0	0	13
Cluster-120.0	0	0	0	0	0	15
Cluster-121.0	0	0	0	0	0	12
Cluster-122.0	0	0	0	0	0	15
Cluster-123.0	0	0	0	0	0	16
Cluster-124.0	0	0	0	0	0	17
Cluster-125.0	0	0	0	0	0	18
Cluster-126.0	0	0	0	0	0	19
Cluster-127.0	0	0	0	0	0	17
Cluster-128.0	0	0	0	0	0	13
Cluster-129.0	0	0	0	0	0	18
Cluster-130.0	0	0	0	0	0	16
Cluster-131.0	0	0	0	0	0	17
Cluster-132.0	0	0	0	0	0	18
Cluster-133.0	0	0	0	0	0	20
