	WC1E	WC1T	WC2E	WC2T	WC3E	WC3T	WH3E	WH5E	WH5T	WH6E	WH6T
Cluster-0.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-1.0	0	0	0	0	0	0	0	0	0	0	32
Cluster-2.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-3.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-4.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-5.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-6.0	34	53	24	55	12	15	0	10	17	23	266
Cluster-7.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-8.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-9.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-10.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-11.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-12.0	0	0	0	0	0	0	0	0	0	0	17
Cluster-13.0	0	0	0	0	0	0	0	0	0	0	19
Cluster-14.0	0	0	0	0	0	0	0	0	0	0	47
Cluster-15.0	0	0	0	0	0	0	0	0	0	0	38
Cluster-16.0	0	0	0	0	0	0	0	0	0	2	190
Cluster-17.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-18.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-19.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-20.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-20.1	0	0	0	0	0	0	0	0	0	0	9
Cluster-21.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-22.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-23.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-24.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-25.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-26.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-27.0	0	0	0	0	0	0	0	0	0	0	18
Cluster-28.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-29.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-30.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-31.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-32.0	0	0	0	0	0	0	0	0	0	0	40
Cluster-33.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-34.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-35.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-36.0	0	0	0	0	0	0	0	0	0	0	21
Cluster-37.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-38.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-39.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-40.0	0	0	0	0	0	0	0	0	0	0	19
Cluster-41.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-42.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-43.0	0	0	0	0	0	0	0	2	0	18	289
Cluster-44.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-45.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-46.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-47.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-48.0	0	0	0	0	0	0	0	0	0	0	17
Cluster-49.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-50.0	0	0	0	0	0	0	0	0	0	0	28
Cluster-51.0	0	0	0	0	0	0	0	0	0	0	47
Cluster-52.0	0	0	0	0	0	0	0	0	0	0	266
Cluster-53.0	0	0	0	0	0	0	0	0	0	0	23
Cluster-54.0	0	0	0	0	0	0	0	0	0	0	25
Cluster-55.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-56.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-57.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-58.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-59.0	0	0	0	0	0	0	0	0	0	0	23
Cluster-60.0	0	0	0	0	0	0	0	0	0	0	49
Cluster-61.0	0	0	0	0	0	0	0	0	0	0	23
Cluster-62.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-63.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-64.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-65.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-66.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-67.0	0	0	0	0	0	0	0	0	0	0	43
Cluster-68.0	0	0	0	0	0	0	0	0	0	0	26
Cluster-69.0	0	0	0	0	0	0	0	0	0	0	28
Cluster-70.0	0	0	0	0	0	0	0	0	0	0	168
Cluster-71.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-72.0	0	0	0	0	0	0	0	0	0	0	112
Cluster-73.0	0	0	0	0	0	0	0	0	0	0	21
Cluster-74.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-75.0	0	0	0	0	0	0	0	0	0	0	44
Cluster-76.0	0	0	0	0	0	0	0	0	0	0	67
Cluster-77.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-78.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-79.0	0	0	0	0	0	0	0	0	0	0	101
