Orthogroup	Wisteria	Phaseolus
OG0000006	SPADES.k65.NODE_3102_length_4573_cov_23.148403_g1636_i0.p1	TRINITY_DN39582_c0_g1_i7.p1
OG0000014	SPADES.k25.NODE_23584_length_2443_cov_116.278743_g8091_i1.p2, Velvet.k55.NODE_253243_length_714_cov_40.981792.p1	SPADES.k25.NODE_5640_length_2763_cov_20.883492_g2148_i1.p1
OG0000014	SPADES.k55.NODE_80424_length_738_cov_8.989751_g33273_i0.p1	SPADES.k35.NODE_42389_length_715_cov_16.688235_g22303_i0.p1
OG0000014	SPADES.k55.NODE_327_length_7528_cov_55.811990_g187_i0.p2	SPADES.k35.NODE_42394_length_715_cov_11.898529_g22308_i0.p1
OG0000028	TRINITY_DN80206_c0_g1_i1.p1	SPADES.k65.NODE_51671_length_339_cov_3.281022_g38660_i0.p1
OG0000031	TRINITY_DN18430_c0_g2_i1.p1	TRINITY_DN39277_c0_g1_i2.p1
OG0000035	SPADES.k45.NODE_83308_length_785_cov_4.395946_g32051_i0.p1	SPADES.k35.NODE_37145_length_883_cov_12.567217_g19117_i0.p1
OG0000036	TransABySS.k35.S775147.p1	SPADES.k25.NODE_11656_length_2127_cov_112.163178_g1471_i2.p1
OG0000036	TransABySS.k55.S522242.p1	SPADES.k35.NODE_7533_length_2465_cov_89.653909_g4525_i0.p1
OG0000036	TransABySS.k35.S872123.p1	SPADES.k25.NODE_5218_length_2831_cov_68.871347_g2921_i0.p1
OG0000036	SPADES.k25.NODE_42590_length_1791_cov_72.572480_g2906_i3.p3, SPADES.k25.NODE_42590_length_1791_cov_72.572480_g2906_i3.p1, SPADES.k25.NODE_113857_length_476_cov_6.696231_g52532_i0.p1	SPADES.k25.NODE_50620_length_581_cov_26.791367_g26557_i0.p1
OG0000036	TransABySS.k55.R486643.p1	TransABySS.k25.R360076.p1
OG0000036	SPADES.k25.NODE_131534_length_310_cov_10.603509_g69872_i0.p1	SPADES.k35.NODE_29823_length_1143_cov_72.942238_g15230_i1.p1
OG0000036	TRINITY_DN46552_c0_g1_i1.p1	SPADES.k65.NODE_66074_length_301_cov_1.016949_g53063_i0.p1
OG0000036	TransABySS.k55.R483514.p1	SPADES.k55.NODE_54149_length_331_cov_27.242754_g38514_i0.p1
OG0000036	TransABySS.k55.S494523.p1	SPADES.k45.NODE_9366_length_2227_cov_80.029331_g5718_i0.p1
OG0000041	SPADES.k45.NODE_106605_length_403_cov_3.812849_g52034_i0.p1	SPADES.k25.NODE_39768_length_885_cov_24.640698_g11206_i2.p1
OG0000041	SPADES.k45.NODE_97983_length_512_cov_6.471092_g43605_i0.p1, SPADES.k25.NODE_92140_length_786_cov_9.107753_g35733_i0.p1	Velvet.k25.NODE_2447759_length_417_cov_42.333332.p1
OG0000043	TransABySS.k65.R461825.p1, SPADES.k65.NODE_36337_length_1790_cov_12.696812_g15581_i0.p1, SOAP.k35.scaffold10187.p1, SPADES.k65.NODE_47024_length_1454_cov_22.503960_g8370_i2.p1, TRINITY_DN4508_c0_g3_i10.p2, SPADES.k45.NODE_19647_length_2706_cov_14.142052_g8347_i0.p2, SPADES.k65.NODE_2094_length_5063_cov_14.180672_g1121_i0.p1, SPADES.k45.NODE_14343_length_3064_cov_25.233190_g1001_i3.p1, SPADES.k55.NODE_62442_length_1145_cov_9.110092_g23575_i0.p2	TRINITY_DN24478_c0_g1_i3.p3, SPADES.k45.NODE_565_length_5069_cov_50.913217_g280_i0.p3
OG0000043	SPADES.k35.NODE_28782_length_2308_cov_45.572371_g10975_i0.p2	SPADES.k25.NODE_61459_length_371_cov_7.447977_g36747_i0.p1
OG0000043	TransABySS.k25.R1158766.p3, SPADES.k45.NODE_4718_length_4315_cov_24.308665_g1369_i1.p2, SPADES.k25.NODE_102878_length_621_cov_34.211409_g43201_i0.p1	SPADES.k25.NODE_34889_length_1041_cov_33.562008_g16992_i0.p1
OG0000043	SPADES.k25.NODE_33043_length_2074_cov_45.282089_g1618_i3.p1	SPADES.k35.NODE_21275_length_1510_cov_19.010847_g11609_i0.p1
OG0000043	TRINITY_DN1763_c1_g1_i25.p2, SPADES.k45.NODE_2355_length_5133_cov_94.550708_g286_i1.p1, SPADES.k55.NODE_8749_length_3523_cov_23.990773_g1422_i3.p1, SPADES.k35.NODE_2282_length_5166_cov_24.394660_g1112_i0.p2, SPADES.k25.NODE_1370_length_5471_cov_100.012670_g635_i0.p1, TransABySS.k25.R1167953.p1, SPADES.k65.NODE_100329_length_382_cov_5.381703_g56370_i0.p1, SPADES.k55.NODE_59645_length_1213_cov_40.174439_g16930_i1.p1, Velvet.k45.NODE_2205301_length_1193_cov_40.431686.p2, TransABySS.k25.S1237245.p1, SPADES.k45.NODE_92251_length_611_cov_6.383392_g38505_i0.p1, SPADES.k35.NODE_84344_length_843_cov_9.181931_g30882_i0.p1	SOAP.k35.scaffold7739.p2
OG0000043	SPADES.k45.NODE_7217_length_3841_cov_25.057165_g3378_i0.p2, TransABySS.k45.R636584.p1, SPADES.k65.NODE_47024_length_1454_cov_22.503960_g8370_i2.p2	SPADES.k25.NODE_33861_length_1076_cov_11.637488_g16520_i0.p1
OG0000043	SPADES.k45.NODE_4499_length_4370_cov_27.396069_g1747_i1.p4	SPADES.k45.NODE_565_length_5069_cov_50.913217_g280_i0.p5
OG0000043	TRINITY_DN4288_c0_g2_i1.p1, TransABySS.k25.R1175696.p1, TRINITY_DN34650_c2_g1_i1.p1	TRINITY_DN24478_c0_g1_i3.p4
OG0000043	Velvet.k55.NODE_597077_length_608_cov_74.870064.p1	TRINITY_DN32407_c0_g2_i1.p1
OG0000045	SPADES.k45.NODE_114220_length_331_cov_6.517483_g59644_i0.p1, SPADES.k55.NODE_99004_length_429_cov_7.700535_g49936_i0.p1	SPADES.k65.NODE_61460_length_310_cov_5.697959_g48449_i0.p1
OG0000046	TransABySS.k35.J786735.p1, TRINITY_DN41568_c0_g1_i6.p1	SPADES.k25.NODE_10381_length_2236_cov_72.463591_g5670_i0.p2
OG0000046	TransABySS.k65.S439398.p2, TransABySS.k25.S493087.p1, TRINITY_DN93298_c0_g1_i1.p1, SPADES.k45.NODE_40912_length_1830_cov_155.530532_g7127_i9.p1	SPADES.k25.NODE_37114_length_968_cov_14.802757_g18061_i0.p1
OG0000046	TransABySS.k25.S1189375.p1, SPADES.k65.NODE_19731_length_2496_cov_53.210202_g3162_i1.p1, SPADES.k65.NODE_23864_length_2280_cov_44.712415_g10808_i0.p1, SPADES.k45.NODE_109472_length_374_cov_18.617021_g54900_i0.p1, TransABySS.k45.R604216.p1, SPADES.k45.NODE_15854_length_2949_cov_86.615014_g3030_i4.p1, SPADES.k65.NODE_42099_length_1603_cov_52.024057_g6453_i2.p1, SPADES.k65.NODE_21980_length_2379_cov_21.632239_g10043_i0.p1, SPADES.k55.NODE_1053_length_6027_cov_71.708808_g137_i8.p1, SPADES.k55.NODE_5745_length_3998_cov_71.309663_g2852_i0.p1, TRINITY_DN13163_c0_g1_i1.p1, SPADES.k55.NODE_281_length_7721_cov_71.408296_g163_i0.p1, SPADES.k55.NODE_36677_length_1875_cov_35.153846_g7821_i3.p1, TransABySS.k25.R1157610.p1, TransABySS.k65.S404763.p1, SPADES.k55.NODE_81890_length_708_cov_8.442573_g34310_i0.p1, SPADES.k25.NODE_21009_length_2567_cov_146.257278_g1144_i9.p1, TRINITY_DN1466_c5_g1_i2.p1	SPADES.k35.NODE_28823_length_1180_cov_43.001747_g15047_i0.p1
OG0000047	Velvet.k65.NODE_270483_length_347_cov_16.651297.p1, SPADES.k65.NODE_91085_length_477_cov_5.861650_g47155_i0.p1, Velvet.k35.NODE_911139_length_511_cov_12.197652.p1	TRINITY_DN1211_c0_g2_i1.p1
OG0000047	SPADES.k25.NODE_9889_length_3355_cov_94.853453_g4038_i0.p2, Velvet.k45.NODE_120843_length_604_cov_9.577814.p1, SPADES.k25.NODE_94181_length_754_cov_41.629630_g37017_i0.p2, SPADES.k55.NODE_78170_length_787_cov_31.920765_g31736_i0.p2	TRINITY_DN43707_c0_g1_i1.p1
OG0000047	SPADES.k45.NODE_3084_length_4801_cov_111.810555_g70_i10.p3	SOAP.k45.C180614.p1, TRINITY_DN13695_c0_g1_i7.p1
OG0000048	SPADES.k45.NODE_104795_length_423_cov_6.063492_g50233_i0.p1	TRINITY_DN20133_c0_g1_i1.p1
OG0000048	SPADES.k25.NODE_3584_length_4423_cov_31.866985_g1569_i0.p2	TRINITY_DN6339_c0_g1_i7.p1
OG0000048	SPADES.k25.NODE_76546_length_1048_cov_7.806452_g27435_i0.p1	Velvet.k45.NODE_259259_length_446_cov_83.852020.p1, SPADES.k25.NODE_8252_length_2435_cov_95.491701_g182_i9.p3
OG0000056	TransABySS.k25.S1168483.p1	TRINITY_DN28064_c0_g1_i2.p1
OG0000056	TransABySS.k25.J1209285.p1	TRINITY_DN16805_c0_g1_i3.p1
OG0000056	SOAP.k65.C356489.p1	TransABySS.k45.S244620.p1
OG0000056	SPADES.k25.NODE_1491_length_5359_cov_68.193101_g692_i0.p1	TRINITY_DN4323_c0_g2_i3.p1
OG0000056	SPADES.k45.NODE_4010_length_4501_cov_70.848519_g1973_i0.p1, TRINITY_DN7645_c0_g1_i13.p1	SPADES.k65.NODE_3785_length_2874_cov_46.448202_g2615_i0.p1
OG0000056	SPADES.k35.NODE_12351_length_3275_cov_92.087346_g2045_i2.p1	TRINITY_DN16620_c0_g2_i8.p1
OG0000056	TransABySS.k55.S187567.p1, SPADES.k25.NODE_11192_length_3223_cov_78.408068_g4534_i0.p1	TRINITY_DN17392_c0_g2_i1.p1, SPADES.k25.NODE_5108_length_2851_cov_54.324133_g2856_i0.p1
OG0000056	TransABySS.k35.R797312.p1	TransABySS.k25.S372483.p1
OG0000056	SOAP.k35.scaffold21102.p1	TRINITY_DN13868_c0_g1_i1.p1
OG0000056	TRINITY_DN97060_c0_g1_i1.p1	SPADES.k25.NODE_58266_length_422_cov_23.498741_g33588_i0.p1
OG0000056	SPADES.k65.NODE_6606_length_3702_cov_55.452021_g3353_i0.p1	TRINITY_DN1446_c0_g2_i4.p1
OG0000056	TRINITY_DN7590_c0_g1_i12.p1	TRINITY_DN3065_c0_g1_i4.p1
OG0000056	TRINITY_DN12019_c0_g1_i12.p1	SPADES.k25.NODE_4512_length_2959_cov_78.291752_g2160_i2.p1
OG0000056	TRINITY_DN2385_c0_g1_i16.p1	TRINITY_DN584_c0_g1_i10.p1
OG0000056	TRINITY_DN14102_c0_g1_i1.p1	TRINITY_DN27632_c0_g1_i1.p1
OG0000056	SOAP.k55.C516533.p1, SPADES.k55.NODE_5686_length_4011_cov_45.927199_g2827_i0.p1	TRINITY_DN18691_c0_g1_i1.p1
OG0000056	SPADES.k25.NODE_18199_length_2716_cov_98.163880_g7024_i0.p1	TRINITY_DN29313_c0_g1_i1.p1
OG0000056	TransABySS.k55.S512664.p1	TRINITY_DN25580_c0_g1_i1.p1
OG0000056	TransABySS.k35.J791734.p1	TRINITY_DN31367_c0_g1_i1.p1
OG0000056	TRINITY_DN56325_c0_g1_i10.p1	TransABySS.k35.J253173.p1
OG0000057	SPADES.k25.NODE_81152_length_970_cov_77.991534_g29639_i0.p1	SPADES.k25.NODE_993_length_4315_cov_177.043823_g16_i10.p5
OG0000057	SPADES.k45.NODE_106921_length_400_cov_2.354930_g52350_i0.p1, SPADES.k25.NODE_76049_length_1057_cov_11.061047_g27208_i0.p1, Velvet.k35.NODE_401270_length_665_cov_13.533834.p1	SPADES.k55.NODE_4276_length_2846_cov_68.557148_g151_i10.p1
