SOAP.k25.C1045664	SOAP.k25.C1045664^POLX_TOBAC
SOAP.k25.C1048936	SOAP.k25.C1048936^MSK3_MEDSA
SOAP.k25.C1050783	SOAP.k25.C1050783^COPIA_DROME
SOAP.k25.C1060479	SOAP.k25.C1060479^NDS5A_ARATH
SOAP.k25.C1074203	SOAP.k25.C1074203^POLR2_ARATH
SOAP.k25.C1081861	SOAP.k25.C1081861^MA653_ARATH
SOAP.k25.C1088185	SOAP.k25.C1088185^EF1G_PRUAV
SOAP.k25.C1100233	SOAP.k25.C1100233^M810_ARATH
SOAP.k25.C1113977	SOAP.k25.C1113977^NDUB2_ARATH
SOAP.k25.C1117747	SOAP.k25.C1117747^AT18H_ARATH
SOAP.k25.C1133278	SOAP.k25.C1133278^M860_ARATH
SOAP.k25.C1139532	SOAP.k25.C1139532^OPT4_ARATH
SOAP.k25.C1139586	SOAP.k25.C1139586^ING
SOAP.k25.C1141302	SOAP.k25.C1141302^Y5185_ARATH
SOAP.k25.C1147358	SOAP.k25.C1147358^DUF4283
SOAP.k25.C1149060	SOAP.k25.C1149060^NAC25_ARATH
SOAP.k25.C1151790	SOAP.k25.C1151790^GDL80_ARATH
SOAP.k25.C1154882	SOAP.k25.C1154882^SC22B_CHICK^Longin
SOAP.k25.C1155426	SOAP.k25.C1155426^LOX4_ARATH
SOAP.k25.C1156400	SOAP.k25.C1156400^POB1_ARATH
SOAP.k25.C1157428	SOAP.k25.C1157428^CPC_ARATH
SOAP.k25.C1163606	SOAP.k25.C1163606^KPYC1_ORYSI
SOAP.k25.C1165102	SOAP.k25.C1165102^ATG8_YARLI
SOAP.k25.C1170770	SOAP.k25.C1170770^gag_pre-integrs
SOAP.k25.C1170796	SOAP.k25.C1170796^DUF4283
SOAP.k25.C1171318	SOAP.k25.C1171318^TF211_SCHPO
SOAP.k25.C1171506	SOAP.k25.C1171506^UGPI7_ARATH
SOAP.k25.C1172676	SOAP.k25.C1172676^NRPD2_ARATH
SOAP.k25.C1174260	SOAP.k25.C1174260^POLR2_ARATH
SOAP.k25.C1176050	SOAP.k25.C1176050^BAMS_GLYGL
SOAP.k25.C1178228	SOAP.k25.C1178228^IP5P7_ARATH
SOAP.k25.C1178996	SOAP.k25.C1178996^zf-CCHC
SOAP.k25.C1179886	SOAP.k25.C1179886^EF-hand_1
SOAP.k25.C1180410	SOAP.k25.C1180410^PSAA_ACOCL
SOAP.k25.C1187476	SOAP.k25.C1187476^VTH21_ARATH
SOAP.k25.C1191542	SOAP.k25.C1191542^MACP2_ARATH
SOAP.k25.C1192130	SOAP.k25.C1192130^POLX_TOBAC
SOAP.k25.C1193122	SOAP.k25.C1193122^HBA_HUMAN^Globin
SOAP.k25.C1196736	SOAP.k25.C1196736^AT_hook
SOAP.k25.C1197336	SOAP.k25.C1197336^ALFL3_ARATH
SOAP.k25.C1200456	SOAP.k25.C1200456^MUCIN_MUCPR^Inhibitor_I29
SOAP.k25.C1200662	SOAP.k25.C1200662^PSAEA_NICSY^PSI_PsaE
SOAP.k25.C1200844	SOAP.k25.C1200844^TPS6_ARATH
SOAP.k25.C1204870	SOAP.k25.C1204870^TRA1_MAIZE^Dimer_Tnp_hAT
SOAP.k25.C1206060	SOAP.k25.C1206060^zf-RVT
SOAP.k25.C1207002	SOAP.k25.C1207002^GSO1_ARATH
SOAP.k25.C1207118	SOAP.k25.C1207118^PMM_SOYBN
SOAP.k25.C1209862	SOAP.k25.C1209862^BCAL2_ARATH
SOAP.k25.C1210138	SOAP.k25.C1210138^PROF4_CORAV
SOAP.k25.C1210174	SOAP.k25.C1210174^DUF3824
SOAP.k25.C1210454	SOAP.k25.C1210454^Ty3_capsid
SOAP.k25.C1211422	SOAP.k25.C1211422^P23B_ARATH^CS
SOAP.k25.C1214794	SOAP.k25.C1214794^SOFL4_ARATH
SOAP.k25.C1217546	SOAP.k25.C1217546^LA1_ARATH
SOAP.k25.C1218600	SOAP.k25.C1218600^POLR2_ARATH
SOAP.k25.C1220280	SOAP.k25.C1220280^Retrotran_gag_2
SOAP.k25.C1221064	SOAP.k25.C1221064^POLR2_ARATH^POLR1_ARATH^RVT_2
SOAP.k25.C1221132	SOAP.k25.C1221132^BL1S2_ARATH^BLOC1_2
