SOAP.k25.C390845	SOAP.k25.C390845^WRK27_ARATH
SOAP.k25.C448502	SOAP.k25.C448502^CDPK2_MAIZE
SOAP.k25.C459272	SOAP.k25.C459272^CCR2_MEDTR
SOAP.k25.C465136	SOAP.k25.C465136^SUMO1_ARATH
SOAP.k25.C506522	SOAP.k25.C506522^PP450_ARATH
SOAP.k25.C521150	SOAP.k25.C521150^SNAK2_SOLTU^GASA
SOAP.k25.C522960	SOAP.k25.C522960^CLB_ARATH
SOAP.k25.C527280	SOAP.k25.C527280^GPDH2_ORYSJ
SOAP.k25.C529366	SOAP.k25.C529366^RGLG2_ARATH^zf-C3HC4_3
SOAP.k25.C530636	SOAP.k25.C530636^LRR_1
SOAP.k25.C530868	SOAP.k25.C530868^SIGD_ARATH^Sigma70_r2
SOAP.k25.C532674	SOAP.k25.C532674^SPC25_ARATH
SOAP.k25.C534036	SOAP.k25.C534036^B3GTH_ARATH
SOAP.k25.C534596	SOAP.k25.C534596^GRP2_NICSY^CSD
SOAP.k25.C534666	SOAP.k25.C534666^RT12_HELAN^Ribosom_S12_S23
SOAP.k25.C535864	SOAP.k25.C535864^CHR42_ARATH^CRR42-like
SOAP.k25.C537720	SOAP.k25.C537720^OEP39_ARATH^Omp85
SOAP.k25.C538352	SOAP.k25.C538352^DNJ49_ARATH
SOAP.k25.C539686	SOAP.k25.C539686^REP_ARATH
SOAP.k25.C542858	SOAP.k25.C542858^zinc_ribbon_15
SOAP.k25.C543000	SOAP.k25.C543000^A_thal_3526
SOAP.k25.C543814	SOAP.k25.C543814^BAGP1_ARATH
SOAP.k25.C544330	SOAP.k25.C544330^HS22C_SOYBN^HSP20
SOAP.k25.C544680	SOAP.k25.C544680^LSU3_ARATH
SOAP.k25.C544894	SOAP.k25.C544894^EB1C_ARATH^EB1
SOAP.k25.C546686	SOAP.k25.C546686^RGI1_ARATH^PK_Tyr_Ser-Thr
SOAP.k25.C547114	SOAP.k25.C547114^VATG_CITLI^VATG1_ARATH^V-ATPase_G
SOAP.k25.C547948	SOAP.k25.C547948^OFP4_ARATH^Ovate
SOAP.k25.C547982	SOAP.k25.C547982^ASK20_ARATH
SOAP.k25.C549754	SOAP.k25.C549754^CYT1_ACTDE^Cystatin
SOAP.k25.C551946	SOAP.k25.C551946^AGP23_ARATH
SOAP.k25.C553594	SOAP.k25.C553594^WAT1_ARATH
SOAP.k25.C553678	SOAP.k25.C553678^RL44_GOSHI^Ribosomal_L44
SOAP.k25.C554892	SOAP.k25.C554892^BEBT_TOBAC^Transferase
SOAP.k25.C555454	SOAP.k25.C555454^OPF13_ARATH^Ovate
SOAP.k25.C555600	SOAP.k25.C555600^LAC3_ARATH^Cu-oxidase_3
SOAP.k25.C556424	SOAP.k25.C556424^ASNS2_PEA
SOAP.k25.C556476	SOAP.k25.C556476^DPNPH_ARATH^Inositol_P
SOAP.k25.C557224	SOAP.k25.C557224^COL13_ARATH^CCT
SOAP.k25.C557428	SOAP.k25.C557428^Y1661_ARATH^B_lectin
SOAP.k25.C558936	SOAP.k25.C558936^CARLK_ARATH
SOAP.k25.C559292	SOAP.k25.C559292^Cupin_3
SOAP.k25.C559562	SOAP.k25.C559562^RC24_ARATH
SOAP.k25.C559948	SOAP.k25.C559948^PMEI
SOAP.k25.C560568	SOAP.k25.C560568^DUF688
SOAP.k25.C562256	SOAP.k25.C562256^Hydrolase_4
SOAP.k25.C562468	SOAP.k25.C562468^LEA_2
SOAP.k25.C563298	SOAP.k25.C563298^SOFL3_ARATH
SOAP.k25.C563426	SOAP.k25.C563426^REMO_SOLTU^Remorin_C
SOAP.k25.C565828	SOAP.k25.C565828^U548_ARATH^DUF1990
SOAP.k25.C566336	SOAP.k25.C566336^STK26_HUMAN
SOAP.k25.C566474	SOAP.k25.C566474^SWTIE_ARATH
SOAP.k25.C566750	SOAP.k25.C566750^C2GR1_ARATH^VASt
SOAP.k25.C566790	SOAP.k25.C566790^PsbX
SOAP.k25.C567054	SOAP.k25.C567054^FKB13_ARATH^FKBP_C
SOAP.k25.C567238	SOAP.k25.C567238^RM19_SCHPO^Ribosomal_L11_N
SOAP.k25.C567284	SOAP.k25.C567284^P2A09_ARATH^PP2
SOAP.k25.C567480	SOAP.k25.C567480^MAF1_SOLLC^WPP
SOAP.k25.C567828	SOAP.k25.C567828^AGP25_ARATH
SOAP.k25.C568044	SOAP.k25.C568044^ERF71_ARATH^AP2
SOAP.k25.C568240	SOAP.k25.C568240^CYB5_BRAOB^Cyt-b5
SOAP.k25.C568386	SOAP.k25.C568386^ENL17_ARATH^Cu_bind_like
SOAP.k25.C568856	SOAP.k25.C568856^Methyltransf_11
SOAP.k25.C570016	SOAP.k25.C570016^ATP23_ARATH
SOAP.k25.C570780	SOAP.k25.C570780^HMGYA_SOYBN^Linker_histone
SOAP.k25.C571070	SOAP.k25.C571070^BCP_PEA^Cu_bind_like
SOAP.k25.C571586	SOAP.k25.C571586^BH020_ARATH^HLH
SOAP.k25.C571970	SOAP.k25.C571970^P23B_ARATH^CS
SOAP.k25.C572288	SOAP.k25.C572288^ADF_VITVI^Cofilin_ADF
SOAP.k25.C572660	SOAP.k25.C572660^NHL1_ARATH^LEA_2
SOAP.k25.C572848	SOAP.k25.C572848^PSI2_ARATH^DUF668
SOAP.k25.C573404	SOAP.k25.C573404^CRK26_ARATH^Stress-antifung
SOAP.k25.C573768	SOAP.k25.C573768^DYR_SCHPO^FSH1
SOAP.k25.C573820	SOAP.k25.C573820^DRL17_ARATH^NB-ARC
SOAP.k25.C573872	SOAP.k25.C573872^MPSR1_ARATH^zf-RING_2
SOAP.k25.C573966	SOAP.k25.C573966^PUKI_ARATH^PfkB
SOAP.k25.C574072	SOAP.k25.C574072^THA8_ARATH
SOAP.k25.C574654	SOAP.k25.C574654^STR1_PETHY^ABC_tran
SOAP.k25.C574670	SOAP.k25.C574670^HS157_ARATH^HSP20
SOAP.k25.C574752	SOAP.k25.C574752^S407_ARATH^Senescence_reg
SOAP.k25.C574866	SOAP.k25.C574866^MYB44_ARATH^Myb_DNA-binding
SOAP.k25.C574916	SOAP.k25.C574916^GNAT3_ARATH^Acetyltransf_1
SOAP.k25.C575350	SOAP.k25.C575350^Y5902_ARATH
SOAP.k25.C575376	SOAP.k25.C575376^NHL10_ARATH^LEA_2
SOAP.k25.C575772	SOAP.k25.C575772^CRS2B_ARATH^Pept_tRNA_hydro
SOAP.k25.C575998	SOAP.k25.C575998^YIPL7_ARATH^Yippee-Mis18
SOAP.k25.C576014	SOAP.k25.C576014^BBX32_ARATH
SOAP.k25.C576232	SOAP.k25.C576232^TAC1_PRUPE
SOAP.k25.C576328	SOAP.k25.C576328^Peptidase_S15
SOAP.k25.C576366	SOAP.k25.C576366^EID1_ARATH
SOAP.k25.C576488	SOAP.k25.C576488^GRS14_ARATH^Glutaredoxin
SOAP.k25.C576552	SOAP.k25.C576552^NFYB3_ARATH^CBFD_NFYB_HMF
SOAP.k25.C576744	SOAP.k25.C576744^POLR2_ARATH^RVT_2
SOAP.k25.C576746	SOAP.k25.C576746^DUF688
SOAP.k25.C576914	SOAP.k25.C576914^GSTUH_ARATH^GST_N
SOAP.k25.C576958	SOAP.k25.C576958^LTG31_ARATH^LTP_2
SOAP.k25.C577014	SOAP.k25.C577014^GR1_ARATH^SAE2
SOAP.k25.C577236	SOAP.k25.C577236^ACDH_ARATH^GLTP
SOAP.k25.C577660	SOAP.k25.C577660^H1_MAIZE^Linker_histone
SOAP.k25.C577714	SOAP.k25.C577714^WLI2B_ARATH^LIM
SOAP.k25.C578028	SOAP.k25.C578028^NDHS_ARATH^NdhS
SOAP.k25.C578186	SOAP.k25.C578186^ATL2_ARATH^zf-RING_2
SOAP.k25.C578362	SOAP.k25.C578362^ERF83_ARATH^AP2
SOAP.k25.C578486	SOAP.k25.C578486^JMJ30_ARATH^Cupin_8
SOAP.k25.C578520	SOAP.k25.C578520^GG2_ARATH^G-gamma
SOAP.k25.C578682	SOAP.k25.C578682^NHL10_ARATH^LEA_2
